D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_06_481.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_06_481.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_06_481.jpg, 0, 0, 0, 7.855657E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_06_581.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_06_581.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_06_581.jpg, 0, 0, 0, 7.828986E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_06_690.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_06_690.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_06_690.jpg, 0, 0, 0, 7.817784E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_06_793.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_06_793.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_06_793.jpg, 0, 0, 0, 7.850394E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_06_898.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_06_898.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_06_898.jpg, 0, 0, 0, 7.819334E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_07_000.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_07_000.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_07_000.jpg, 0, 0, 0, 7.847782E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_07_107.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_07_107.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_07_107.jpg, 0, 0, 0, 7.83138E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_07_210.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_07_210.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_07_210.jpg, 0, 0, 0, 7.924212E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_07_315.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_07_315.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_07_315.jpg, 0, 0, 0, 7.805147E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_07_418.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_07_418.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_07_418.jpg, 0, 0, 0, 7.817197E-05
D:\Courses\Udemy_SelfDriving\Data\IMG\center_2021_05_17_22_53_07_522.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\left_2021_05_17_22_53_07_522.jpg, D:\Courses\Udemy_SelfDriving\Data\IMG\right_2021_05_17_22_53_07_522.jpg, 0, 0, 0, 7.831584E-05
